# pressure    , temperature , height      , H2O         , CO2         , O3          , N2O         , CO          , CH4         , O2          , NO          , NO2         , HNO         , OH          , CLO         , N2          , HCN         , HO2         , O         
# [Pa]        , [K]         , [m]         , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]     , [kg/kg]    
6.5205900e-04 , 7.53695e+02 , 1.43000e+05 , 1.14500e-07 , 9.72600e-06 , 9.82200e-13 , 4.85000e-11 , 2.59500e-05 , 1.37800e-09 , 4.27800e-02 , 3.59800e-04 , 3.12100e-14 , 2.61400e-16 , 2.62300e-16 , 4.91300e-14 , 5.81600e-01 , 4.50000e-11 , 5.82200e-15 , 3.72500e-01
6.7673300e-04 , 7.41364e+02 , 1.42000e+05 , 1.31700e-07 , 1.02800e-05 , 1.13100e-12 , 5.26300e-11 , 2.76000e-05 , 1.52800e-09 , 4.38200e-02 , 3.51700e-04 , 3.37400e-14 , 3.67900e-16 , 3.12900e-16 , 4.91300e-14 , 5.86100e-01 , 4.50000e-11 , 5.30100e-15 , 3.66900e-01
7.0285100e-04 , 7.28813e+02 , 1.41000e+05 , 1.50900e-07 , 1.08800e-05 , 1.31400e-12 , 5.70300e-11 , 2.93000e-05 , 1.69100e-09 , 4.49000e-02 , 3.42900e-04 , 3.63900e-14 , 5.13800e-16 , 3.74000e-16 , 4.91300e-14 , 5.90600e-01 , 4.50000e-11 , 4.86200e-15 , 3.61300e-01
7.3053500e-04 , 7.16021e+02 , 1.40000e+05 , 1.72300e-07 , 1.15200e-05 , 1.54300e-12 , 6.17000e-11 , 3.10500e-05 , 1.86800e-09 , 4.60300e-02 , 3.33700e-04 , 3.91600e-14 , 7.11700e-16 , 4.47900e-16 , 4.91300e-14 , 5.95100e-01 , 4.50000e-11 , 4.49200e-15 , 3.55500e-01
7.5992700e-04 , 7.02831e+02 , 1.39000e+05 , 1.96100e-07 , 1.22100e-05 , 1.83000e-12 , 6.66300e-11 , 3.28500e-05 , 2.05900e-09 , 4.72200e-02 , 3.24500e-04 , 4.20400e-14 , 9.77100e-16 , 5.37400e-16 , 4.91300e-14 , 5.99600e-01 , 4.50000e-11 , 4.18400e-15 , 3.49700e-01
7.9118200e-04 , 6.89397e+02 , 1.38000e+05 , 2.22200e-07 , 1.29600e-05 , 2.19400e-12 , 7.18300e-11 , 3.46700e-05 , 2.26300e-09 , 4.84700e-02 , 3.14900e-04 , 4.50100e-14 , 1.32900e-15 , 6.46000e-16 , 4.91300e-14 , 6.04200e-01 , 4.50000e-11 , 3.92800e-15 , 3.43800e-01
8.2447500e-04 , 6.75699e+02 , 1.37000e+05 , 2.50800e-07 , 1.37700e-05 , 2.65900e-12 , 7.73000e-11 , 3.65200e-05 , 2.48300e-09 , 4.97900e-02 , 3.04700e-04 , 4.80700e-14 , 1.79100e-15 , 7.78100e-16 , 4.91300e-14 , 6.08700e-01 , 4.50000e-11 , 3.71900e-15 , 3.37800e-01
8.6000100e-04 , 6.61755e+02 , 1.36000e+05 , 2.81900e-07 , 1.46400e-05 , 3.25800e-12 , 8.30100e-11 , 3.83900e-05 , 2.71600e-09 , 5.11700e-02 , 2.95100e-04 , 5.11900e-14 , 2.38900e-15 , 9.38900e-16 , 4.91300e-14 , 6.13300e-01 , 4.50000e-11 , 3.55300e-15 , 3.31700e-01
8.9797900e-04 , 6.47548e+02 , 1.35000e+05 , 3.15400e-07 , 1.55800e-05 , 4.03700e-12 , 8.89600e-11 , 4.02600e-05 , 2.96400e-09 , 5.26200e-02 , 2.85300e-04 , 5.43500e-14 , 3.15400e-15 , 1.13500e-15 , 4.91300e-14 , 6.17900e-01 , 4.50000e-11 , 3.42400e-15 , 3.25500e-01
9.3866500e-04 , 6.32885e+02 , 1.34000e+05 , 3.51300e-07 , 1.65900e-05 , 5.06000e-12 , 9.51300e-11 , 4.21200e-05 , 3.22500e-09 , 5.41400e-02 , 2.75000e-04 , 5.75400e-14 , 4.11600e-15 , 1.37500e-15 , 4.91300e-14 , 6.22500e-01 , 4.50000e-11 , 3.33200e-15 , 3.19200e-01
